ID,Member,PARTY,CONSTITUENCY,Cost of staying away from main home (2nd home),London costs,Office running costs,Staffing costs,Travel,Centrally provided stationary/postage,Staff cover & other,Comms allowance
James Cunningham MP,16678.38,0,12691.43,66701.08,2239,2816,0,3870
Tony Cunningham MP,14743.92,0,11048.65,71889.52,19231,3493,0,636
David Curry MP,12071.24,0,19151.21,97871.74,9098,1644,0,154
Claire Curtis-Thomas MP,23469.10,0,21830.00,100567.84,9338,5829,0,5380
Alistair Darling MP,10626.48,0,12847.52,97283.82,15844,1882,0,9960
Edward Davey MP,0.00,2916,25178.87,97207.57,2299,3772,2466,10349
Dai Davies MP,22441.67,0,9081.00,89456.45,4648,1703,0,353
David Davis MP,18113.54,0,17343.87,78536.76,9065,3413,4440,3641
David Davies MP,23815.60,0,21603.35,81246.64,15929,2245,0,20557
Ian Davidson MP,23866.89,0,13922.45,98474.19,16074,6989,0,11918
Philip Davies MP,23886.02,0,14603.10,100598.81,12491,4748,0,14931
Quentin Davies MP,24006.00,0,2483.32,100558.25,12689,1859,0,0
Wayne David MP,14242.89,0,17787.17,100709.19,11689,3416,0,4569
Janet Dean MP,15610.16,0,14988.81,87907.32,4858,6099,0,10443
John Denham MP,23805.56,0,22952.41,92214.83,4134,4294,0,9713
Jim Devine MP,23658.72,0,19782.23,93955.58,14037,2961,11145,10209
Parmjit Dhanda MP,17093.12,0,18784.58,102348.69,4602,6877,0,11632
Andrew Dismore MP,2927.04,0,25480.42,95919.99,5119,6935,0,10388
Jonathan Djanogly MP,20103.77,0,24070.45,87063.13,5687,2654,8380,7102
Jim Dobbin MP,4366.63,0,18204.05,103492.51,7318,936,0,4938
Frank Dobson MP,0.00,2916,5057.40,107417.23,72,2121,0,10394
Nigel Dodds MP,22435.69,0,15604.21,81899.09,20932,5429,0,6183
Pat Doherty MP,21600.00,0,0.00,101524.34,2140,0,0,0
Jeffrey Donaldson MP,13460.52,0,14191.25,93503.15,20633,5263,0,6436
Brian Donohoe MP,23995.96,0,18329.35,100799.35,24415,4396,0,9714
Frank Doran MP,23788.56,0,22378.64,99727.97,24161,1799,0,10284
Nadine Dorries MP,23332.06,0,28963.02,86626.77,8460,1433,0,9715
Stephen Dorrell MP,16458.19,0,9752.26,60272.36,6352,2865,0,387
Jim Dowd MP,0.00,2916,21225.74,101171.99,2843,2783,0,8518
David Drew MP,13059.00,0,11256.95,98102.46,6466,6985,0,3591
James Duddridge MP,23499.11,0,21158.40,101132.83,4235,3591,253,7391
Alan Duncan MP,23918.58,0,23589.88,97474.00,8500,1298,0,7835
Iain Duncan-Smith MP,0.00,2916,15806.75,71628.28,3530,1601,0,2595
Philip Dunne MP,0.00,0,12551.93,98624.73,7755,5912,0,14387
Mark Durkan MP,18808.91,0,23831.08,91435.10,14200,1388,0,8854
Angela Eagle MP,7483.82,0,20166.53,102067.12,9196,3710,4389,10403
Maria Eagle MP,14367.66,0,13982.45,108218.55,10611,2297,0,8957
Clive Efford MP,0.00,2916,19332.99,101242.00,1798,3454,0,12223
Louise Ellman MP,23591.86,0,16667.11,105317.95,15855,3771,0,7961
Tobias Ellwood MP,23593.72,0,21011.39,72687.64,7799,814,3817,4128
Natascha Engel MP,17264.14,0,18044.37,96965.65,7167,1452,0,5785
Jeffrey Ennis MP,14242.28,0,12843.05,73846.56,10762,1736,0,1319
William Etherington MP,20612.42,0,17161.56,99036.22,16287,2372,0,0
Nigel Evans MP,21181.07,0,19968.91,82204.38,12566,2445,0,2641
David Evennett MP,0.00,2916,14235.32,80844.72,2243,984,0,5244
Michael Fabricant MP,16298.52,0,14556.38,84591.47,6679,3249,361,3306
Michael Fallon MP,23659.58,0,11090.02,74840.62,3761,1585,0,3087
Paul Farrelly MP,23882.07,0,16626.28,102797.33,18190,3983,0,5322
Tim Farron MP,23484.46,0,22814.67,99583.00,15865,6887,0,10290
Lynne Featherstone MP,0.00,2916,19893.20,101056.04,458,2837,0,11316
Frank Field MP,8420.82,0,6921.42,98345.51,10911,4816,0,10263
Mark Field MP,0.00,2916,7802.10,91905.94,4197,2401,0,23939
Mark Fisher MP,20063.10,0,7331.95,74665.15,8711,1525,0,9465
Jim Fitzpatrick MP,0.00,2916,11770.24,107676.20,400,6721,1789,10182
