[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Christine Chapman's membership (Q5110965-E6940BCA-421B-4050-BF21-771DC2DB4BEB) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70016 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Christine Humphreys's membership (Q5111059-17B02577-93D0-4102-9B19-D7261D8283E1): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Christine Humphreys's membership (Q5111059-17B02577-93D0-4102-9B19-D7261D8283E1) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70017 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at David Lloyd's membership (Q5236695-4409E089-B94B-43FD-A726-6057A49E6BF5): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for David Lloyd's membership (Q5236695-4409E089-B94B-43FD-A726-6057A49E6BF5) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70018 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at David Lloyd's membership (Q5236695-4E217A57-1C10-4BBC-94F9-2289908F2688): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for David Lloyd's membership (Q5236695-4E217A57-1C10-4BBC-94F9-2289908F2688) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70019 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Eleanor Burnham's membership (Q5354231-910A53C1-A6E0-4BC1-863F-7A03C477E8B5): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Eleanor Burnham's membership (Q5354231-910A53C1-A6E0-4BC1-863F-7A03C477E8B5) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70020 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Eleanor Burnham's membership (Q5354231-EBD2A9AE-82CD-4FF3-AC38-BB065B8F7229): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Eleanor Burnham's membership (Q5354231-EBD2A9AE-82CD-4FF3-AC38-BB065B8F7229) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70021 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Irene James's membership (Q6069080-B4C6748A-A7B3-49D1-A68D-1298CDB8D40D): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Irene James's membership (Q6069080-B4C6748A-A7B3-49D1-A68D-1298CDB8D40D) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70022 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at John Griffiths's membership (Q6236400-66EEA711-AA18-491C-B236-0FB4B7398778): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for John Griffiths's membership (Q6236400-66EEA711-AA18-491C-B236-0FB4B7398778) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70023 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at John Griffiths's membership (Q6236400-E66CC167-65CB-4512-AA8A-D7D25EBDC82D): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for John Griffiths's membership (Q6236400-E66CC167-65CB-4512-AA8A-D7D25EBDC82D) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70024 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Owen John Thomas's membership (Q7114528-BD420499-0AFE-4F44-93F6-5D1189F9C378): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Owen John Thomas's membership (Q7114528-BD420499-0AFE-4F44-93F6-5D1189F9C378) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70025 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Owen John Thomas's membership (Q7114528-DF18CE1C-6F63-4508-8B20-E9071A0B0ED3): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Owen John Thomas's membership (Q7114528-DF18CE1C-6F63-4508-8B20-E9071A0B0ED3) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70026 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Peter Black's membership (Q7172838-84EE8B1F-3FE9-458E-BC40-C4587DA2ABBA): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Peter Black's membership (Q7172838-84EE8B1F-3FE9-458E-BC40-C4587DA2ABBA) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70027 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Peter Black's membership (Q7172838-EDB3B63A-312F-404A-9221-C180A6E2217A): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Peter Black's membership (Q7172838-EDB3B63A-312F-404A-9221-C180A6E2217A) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70028 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Phil Williams's membership (Q7182555-4AB6C038-595B-4DA3-9968-3B79F54491D1): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Phil Williams's membership (Q7182555-4AB6C038-595B-4DA3-9968-3B79F54491D1) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70029 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Sue Essex's membership (Q7634083-3297C23B-F0EE-4977-A72B-DD1753F1F143): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Sue Essex's membership (Q7634083-3297C23B-F0EE-4977-A72B-DD1753F1F143) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70030 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Sue Essex's membership (Q7634083-33CD1F5E-56E5-40A0-B92B-635D95CD0152): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Sue Essex's membership (Q7634083-33CD1F5E-56E5-40A0-B92B-635D95CD0152) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70031 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Tom Middlehurst's membership (Q7816884-D097D028-4C46-4720-8F7E-A6CE8F240C25): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Tom Middlehurst's membership (Q7816884-D097D028-4C46-4720-8F7E-A6CE8F240C25) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70032 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at David Davies's membership (Q296797-600CA240-FDD9-4E69-AFDC-0B6B54532DA0): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for David Davies's membership (Q296797-600CA240-FDD9-4E69-AFDC-0B6B54532DA0) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70033 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at David Davies's membership (Q296797-B9204E00-9E02-4027-A94B-D00818B81EC3): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for David Davies's membership (Q296797-B9204E00-9E02-4027-A94B-D00818B81EC3) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70034 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Glyn Davies's membership (Q296920-5019BDFC-3D3A-4F9F-9555-3EAF72F20B9B): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Glyn Davies's membership (Q296920-5019BDFC-3D3A-4F9F-9555-3EAF72F20B9B) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70035 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Glyn Davies's membership (Q296920-62F4A6C2-6766-4A88-8C2E-22DACE76471C): (memberships.py:88)
