Canonical Guardian Name	Guardian ID	mySociety ID
james-mcgovern	8717	11974
eddie-mcgrady	3827	10385
martin-mcguinness	3828	10387
anne-mcguire	3829	10388
anne-mcintosh	3830	10389
shona-mcisaac	3831	10390
ann-mckechin	7375	11076
rosemary-mckenna	3832	10392
patrick-mcloughlin	3834	10397
tony-mcnulty	3836	10400
michael-meacher	3566	10427
alan-meale	3580	10428
patrick-mercer	6020	11109
gillian-merron	3603	10430
alun-michael	3610	10431
alan-milburn	3623	10434
david-miliband	8431	11113
ed-miliband	8711	11545
andrew-miller	3631	10435
maria-miller	6189	11389
anne-milton	9240	11603
andrew-mitchell	6134	11115
austin-mitchell	3663	10436
anne-moffat	6352	11156
laura-moffatt	3678	10437
chris-mole	11049	11346
madeleine-moon	8669	11450
michael-moore	3705	10439
margaret-moran	3710	10440
jessica-morden	8781	11732
julie-morgan	3718	10442
elliot-morley	3726	10444
malcolm-moss	3753	10447
kali-mountford	3758	10448
george-mudie	3768	10450
greg-mulholland	9010	11672
chris-mullin	3777	10451
david-mundell	9205	11970
meg-munn	6458	11128
conor-murphy	6997	11734
denis-murphy	3795	10452
jim-murphy	3796	10453
paul-murphy	3798	10454
andrew-murrison	6181	11132
doug-naysmith	3853	10455
bob-neill	11121	13736
brooks-newmark	5790	11443
dan-norris	3920	10458
michael-o-brien	3938	10461
stephen-o-brien	3941	10670
eddie-o-hara	3950	10462
mark-oaten	3969	10459
bill-olner	3981	10463
lembit-opik	5739	10465
george-osborne	6138	11145
sandra-osborne	4001	10467
richard-ottaway	4006	10468
albert-owen	6520	11148
james-paice	4034	10470
ian-paisley	4037	10471
nick-palmer	10970	10472
owen-paterson	4082	10473
ian-pearson	4116	10474
andrew-pelling	9188	11522
michael-penning	6143	11626
john-penrose	6182	11924
eric-pickles	4174	10477
james-plaskitt	4200	10480
greg-pope	4221	10483
stephen-pound	4236	10484
bridget-prentice	4252	10486
gordon-prentice	4253	10487
john-prescott	4254	10488
adam-price	6963	11170
dawn-primarolo	4266	10489
mark-prisk	5943	11172
mark-pritchard	6164	11946
gwyn-prosser	4279	10491
john-pugh	6882	11174
ken-purchase	4287	10492
james-purnell	7096	11176
bill-rammell	4323	10496
john-randall	4331	10660
nick-raynsford	4344	10498
john-redwood	4356	10499
andy-reed	4358	10500
jamie-reed	8696	11511
alan-reid	6530	11185
john-reid	4372	10501
william-rennie	11117	13712
malcolm-rifkind	4419	11660
linda-riordan	8736	11607
andrew-robathan	4440	10503
angus-robertson	7052	11189
hugh-robertson	5909	11190
john-robertson	4460	10684
laurence-robertson	4463	10505
geoffrey-robinson	4472	10506
peter-robinson	4478	10507
dan-rogerson	6807	11513
terry-rooney	4521	10512
andrew-rosindell	6081	11199
paul-rowen	6848	11784
frank-roy	4552	10517
lindsay-roy	11232	14142
chris-ruane	4556	10518
joan-ruddock	4559	10519
david-ruffley	4561	10520
bob-russell	4570	10521
christine-russell	4571	10522
joan-ryan	4580	10523
alex-salmond	4595	10525
martin-salter	4596	10526
adrian-sanders	4608	10527
mohammad-sarwar	4616	10528
lee-scott	6169	11651
alison-seabeck	8793	11760
andrew-selous	6109	11216
grant-shapps	6173	11917
virendra-sharma	11162	13934
jonathan-shaw	4713	10533
barry-sheerman	4719	10534
richard-shepherd	4730	10537
james-sheridan	6504	11221
clare-short	4749	10540
mark-simmonds	5786	11224
sion-simon	7804	11225
alan-simpson	4778	10541
david-simpson	7071	11892
keith-simpson	4783	10542
marsha-singh	4792	10543
dennis-skinner	4801	10544
andrew-slaughter	11029	11559
andrew-smith	4827	10545
angela-smith	4828	10546
angela-smith	11088	11814
chloe-smith	11268	24691
geraldine-smith	4843	10548
jacqui-smith	4851	10549
john-smith	4855	10550
robert-smith	4875	10552
anne-snelgrove	8841	11866
nicholas-soames	4889	10555
peter-soulsby	8477	11675
helen-southworth	4899	10557
john-spellar	4912	10558
caroline-spelman	4915	10559
michael-spicer	4923	10560
robert-spink	5824	11245
richard-spring	4933	10561
john-stanley	4956	10563
phyllis-starkey	4963	10564
anthony-steen	4968	10565
ian-stewart	5005	10569
howard-stoate	5015	10571
gavin-strang	5037	10573
jack-straw	5038	10574
gary-streeter	5040	10575
graham-stringer	5043	10576
gisela-stuart	5044	10577
graham-stuart	10949	11406
andrew-stunell	5048	10578
gerry-sutcliffe	5068	10579
desmond-swayne	5075	10580
jo-swinson	6756	11971
hugo-swire	5884	11265
robert-syms	5087	10582
mark-tami	7383	11267
peter-tapsell	5094	10583
dari-taylor	5109	10585
ian-taylor	5117	10587
matthew-taylor	5126	10590
richard-taylor	8203	11275
sarah-teather	6690	11350
gareth-thomas	5151	10594
emily-thornberry	7384	11656
john-thurso	6594	11280
stephen-timms	5192	10596
edward-timpson	11185	14128
paddy-tipping	5193	10597
mark-todd	5198	10598
don-touhig	5219	10600
david-tredinnick	5231	10602
jon-trickett	5242	10604
paul-truswell	5250	10606
andrew-turner	5261	11291
desmond-turner	5265	10608
neil-turner	5272	10672
derek-twigg	5278	10610
andrew-tyrie	5291	10613
kitty-ussher	8675	11464
ed-vaizey	9398	11905
shailesh-vara	6040	11475
keith-vaz	5310	10614
peter-viggers	5321	10615
theresa-villiers	9175	11500
rudi-vis	5326	10616
charles-walker	5879	11461
ben-wallace	9272	11668
joan-walley	5367	10619
robert-walter	5384	10620
lynda-waltho	8829	11845
claire-ward	5389	10621
robert-wareing	5401	10623
nigel-waterson	5417	10624
angela-watkinson	6154	11308
tom-watson	7104	11309
dave-watts	5428	10625
steve-webb	5437	10626
mike-weir	7003	11312
alan-whitehead	5497	10630
john-whittingdale	5510	10632
malcolm-wicks	5515	10633
ann-widdecombe	5516	10634
bill-wiggin	5982	11318
david-willetts	5542	10637
alan-williams	5545	10639
betty-williams	5548	10640
hywel-williams	6958	11323
mark-williams	6606	11489
roger-williams	6573	11324
stephen-williams	6585	11458
phil-willis	5584	10641
jenny-willott	6599	11480
michael-wills	5588	10642
david-wilshire	5591	10643
